success_count,acceptance_rate,total_cost,total_revenue,total_time_cost,total_time_revenue,rc_ratio,time_rc_ratio,min_pn_available_resource,min_pn_node_available_resource,min_pn_edge_available_resource,max_inservice_count,cumulative_reward,player,pn_config,vns_config,host_name,run_time
172,0.86,32252,23932,8911710.122739784,6633378.635145259,0.7420315019223614,0.744344075804153,1423,572,851,84,0,random_rank_bfs,dataset/pn\20-waxman-0.5-0.2,dataset/vns\200-random-2-8-300-0.02,WangTianFu-PC,20211216T183850
169,0.845,31051,22967,8450116.562510291,6340903.31100689,0.7396541174197289,0.7503924075010849,1567,702,865,85,0,random_rank_bfs,dataset/pn\20-waxman-0.5-0.2,dataset/vns\200-random-2-8-300-0.02,WangTianFu-PC,20211216T183851
163,0.815,29472,21995,7939996.80615274,5945884.677479411,0.7463015743756786,0.7488522757177833,1526,636,890,84,0,random_rank_bfs,dataset/pn\20-waxman-0.5-0.2,dataset/vns\200-random-2-8-300-0.02,WangTianFu-PC,20211216T183851
171,0.855,31444,23255,8849263.060445279,6552014.740319245,0.7395687571555781,0.740402301927903,1566,699,867,85,0,random_rank_bfs,dataset/pn\20-waxman-0.5-0.2,dataset/vns\200-random-2-8-300-0.02,WangTianFu-PC,20211216T183852
92,0.46,17332,11053,5016904.398042857,3180734.054931027,0.6377221324717286,0.6340033220828091,2377,980,1369,45,0,order_rank,dataset/pn\20-waxman-0.5-0.2,dataset/vns\200-random-2-8-300-0.02,WangTianFu-PC,20211216T184023
92,0.46,17332,11053,5016904.398042857,3180734.054931027,0.6377221324717286,0.6340033220828091,2377,980,1369,45,0,order_rank,dataset/pn\20-waxman-0.5-0.2,dataset/vns\200-random-2-8-300-0.02,WangTianFu-PC,20211216T184024
92,0.46,17332,11053,5016904.398042857,3180734.054931027,0.6377221324717286,0.6340033220828091,2377,980,1369,45,0,order_rank,dataset/pn\20-waxman-0.5-0.2,dataset/vns\200-random-2-8-300-0.02,WangTianFu-PC,20211216T184025
92,0.46,17332,11053,5016904.398042857,3180734.054931027,0.6377221324717286,0.6340033220828091,2377,980,1369,45,0,order_rank,dataset/pn\20-waxman-0.5-0.2,dataset/vns\200-random-2-8-300-0.02,WangTianFu-PC,20211216T184027
92,0.46,17332,11053,5016904.398042857,3180734.054931027,0.6377221324717286,0.6340033220828091,2377,980,1369,45,0,order_rank,dataset/pn\20-waxman-0.5-0.2,dataset/vns\200-random-2-8-300-0.02,WangTianFu-PC,20211216T184028
92,0.46,17332,11053,5016904.398042857,3180734.054931027,0.6377221324717286,0.6340033220828091,2377,980,1369,45,0,order_rank,dataset/pn\20-waxman-0.5-0.2,dataset/vns\200-random-2-8-300-0.02,WangTianFu-PC,20211216T184029
92,0.46,17332,11053,5016904.398042857,3180734.054931027,0.6377221324717286,0.6340033220828091,2377,980,1369,45,0,order_rank,dataset/pn\20-waxman-0.5-0.2,dataset/vns\200-random-2-8-300-0.02,WangTianFu-PC,20211216T184030
92,0.46,17332,11053,5016904.398042857,3180734.054931027,0.6377221324717286,0.6340033220828091,2377,980,1369,45,0,order_rank,dataset/pn\20-waxman-0.5-0.2,dataset/vns\200-random-2-8-300-0.02,WangTianFu-PC,20211216T184031
92,0.46,17332,11053,5016904.398042857,3180734.054931027,0.6377221324717286,0.6340033220828091,2377,980,1369,45,0,order_rank,dataset/pn\20-waxman-0.5-0.2,dataset/vns\200-random-2-8-300-0.02,WangTianFu-PC,20211216T184032
92,0.46,17332,11053,5016904.398042857,3180734.054931027,0.6377221324717286,0.6340033220828091,2377,980,1369,45,0,order_rank,dataset/pn\20-waxman-0.5-0.2,dataset/vns\200-random-2-8-300-0.02,WangTianFu-PC,20211216T184033
101,0.505,22786,11926,7162776.133798081,3687261.072373047,0.5233915562187308,0.5147810015971931,2153,1021,1116,51,0,order_joint_pr,dataset/pn\20-waxman-0.5-0.2,dataset/vns\200-random-2-8-300-0.02,WangTianFu-PC,20211216T184035
101,0.505,22786,11926,7162776.133798081,3687261.072373047,0.5233915562187308,0.5147810015971931,2153,1021,1116,51,0,order_joint_pr,dataset/pn\20-waxman-0.5-0.2,dataset/vns\200-random-2-8-300-0.02,WangTianFu-PC,20211216T184037
101,0.505,22786,11926,7162776.133798081,3687261.072373047,0.5233915562187308,0.5147810015971931,2153,1021,1116,51,0,order_joint_pr,dataset/pn\20-waxman-0.5-0.2,dataset/vns\200-random-2-8-300-0.02,WangTianFu-PC,20211216T184039
101,0.505,22786,11926,7162776.133798081,3687261.072373047,0.5233915562187308,0.5147810015971931,2153,1021,1116,51,0,order_joint_pr,dataset/pn\20-waxman-0.5-0.2,dataset/vns\200-random-2-8-300-0.02,WangTianFu-PC,20211216T184041
101,0.505,22786,11926,7162776.133798081,3687261.072373047,0.5233915562187308,0.5147810015971931,2153,1021,1116,51,0,order_joint_pr,dataset/pn\20-waxman-0.5-0.2,dataset/vns\200-random-2-8-300-0.02,WangTianFu-PC,20211216T184042
101,0.505,22786,11926,7162776.133798081,3687261.072373047,0.5233915562187308,0.5147810015971931,2153,1021,1116,51,0,order_joint_pr,dataset/pn\20-waxman-0.5-0.2,dataset/vns\200-random-2-8-300-0.02,WangTianFu-PC,20211216T184044
101,0.505,22786,11926,7162776.133798081,3687261.072373047,0.5233915562187308,0.5147810015971931,2153,1021,1116,51,0,order_joint_pr,dataset/pn\20-waxman-0.5-0.2,dataset/vns\200-random-2-8-300-0.02,WangTianFu-PC,20211216T184045
101,0.505,22786,11926,7162776.133798081,3687261.072373047,0.5233915562187308,0.5147810015971931,2153,1021,1116,51,0,order_joint_pr,dataset/pn\20-waxman-0.5-0.2,dataset/vns\200-random-2-8-300-0.02,WangTianFu-PC,20211216T184046
101,0.505,22786,11926,7162776.133798081,3687261.072373047,0.5233915562187308,0.5147810015971931,2153,1021,1116,51,0,order_joint_pr,dataset/pn\20-waxman-0.5-0.2,dataset/vns\200-random-2-8-300-0.02,WangTianFu-PC,20211216T184048
101,0.505,22786,11926,7162776.133798081,3687261.072373047,0.5233915562187308,0.5147810015971931,2153,1021,1116,51,0,order_joint_pr,dataset/pn\20-waxman-0.5-0.2,dataset/vns\200-random-2-8-300-0.02,WangTianFu-PC,20211216T184049
124,0.62,21405,15160,6862658.696717054,4818756.183139462,0.7082457369773417,0.702170455518158,2008,845,1163,62,0,order_rank_bfs,dataset/pn\20-waxman-0.5-0.2,dataset/vns\200-random-2-8-300-0.02,WangTianFu-PC,20211216T184050
124,0.62,21405,15160,6862658.696717054,4818756.183139462,0.7082457369773417,0.702170455518158,2008,845,1163,62,0,order_rank_bfs,dataset/pn\20-waxman-0.5-0.2,dataset/vns\200-random-2-8-300-0.02,WangTianFu-PC,20211216T184052
124,0.62,21405,15160,6862658.696717054,4818756.183139462,0.7082457369773417,0.702170455518158,2008,845,1163,62,0,order_rank_bfs,dataset/pn\20-waxman-0.5-0.2,dataset/vns\200-random-2-8-300-0.02,WangTianFu-PC,20211216T184053
124,0.62,21405,15160,6862658.696717054,4818756.183139462,0.7082457369773417,0.702170455518158,2008,845,1163,62,0,order_rank_bfs,dataset/pn\20-waxman-0.5-0.2,dataset/vns\200-random-2-8-300-0.02,WangTianFu-PC,20211216T184054
124,0.62,21405,15160,6862658.696717054,4818756.183139462,0.7082457369773417,0.702170455518158,2008,845,1163,62,0,order_rank_bfs,dataset/pn\20-waxman-0.5-0.2,dataset/vns\200-random-2-8-300-0.02,WangTianFu-PC,20211216T184055
124,0.62,21405,15160,6862658.696717054,4818756.183139462,0.7082457369773417,0.702170455518158,2008,845,1163,62,0,order_rank_bfs,dataset/pn\20-waxman-0.5-0.2,dataset/vns\200-random-2-8-300-0.02,WangTianFu-PC,20211216T184056
124,0.62,21405,15160,6862658.696717054,4818756.183139462,0.7082457369773417,0.702170455518158,2008,845,1163,62,0,order_rank_bfs,dataset/pn\20-waxman-0.5-0.2,dataset/vns\200-random-2-8-300-0.02,WangTianFu-PC,20211216T184057
124,0.62,21405,15160,6862658.696717054,4818756.183139462,0.7082457369773417,0.702170455518158,2008,845,1163,62,0,order_rank_bfs,dataset/pn\20-waxman-0.5-0.2,dataset/vns\200-random-2-8-300-0.02,WangTianFu-PC,20211216T184057
124,0.62,21405,15160,6862658.696717054,4818756.183139462,0.7082457369773417,0.702170455518158,2008,845,1163,62,0,order_rank_bfs,dataset/pn\20-waxman-0.5-0.2,dataset/vns\200-random-2-8-300-0.02,WangTianFu-PC,20211216T184059
124,0.62,21405,15160,6862658.696717054,4818756.183139462,0.7082457369773417,0.702170455518158,2008,845,1163,62,0,order_rank_bfs,dataset/pn\20-waxman-0.5-0.2,dataset/vns\200-random-2-8-300-0.02,WangTianFu-PC,20211216T184100
