vn_count,success_count,inservice_count,total_revenue,total_cost,total_time_revenue,total_time_cost,num_running_pn_nodes,event_id,event_type,pn_available_resource,pn_node_available_resource,pn_edge_available_resource,vn_id,node_slots,edge_paths,vn_cost,vn_revenue,vn_rc_ratio,vn_time_cost,vn_time_revenue,vn_time_rc_ratio,result,info,place_result,route_result,early_rejection
1,1,1,471,728,281122.5158833268,434516.3302825094,6,0,1,40427,7439,32988,0,"{2: 6, 3: 8, 0: 16, 1: 17, 5: 14, 4: 11}","{(0, 1): [16, 0, 11, 17], (0, 2): [16, 8, 6], (0, 3): [16, 8], (0, 4): [16, 0, 11], (1, 2): [17, 6], (1, 3): [17, 6, 8], (2, 4): [6, 18, 11], (2, 5): [6, 14], (3, 5): [8, 16, 86, 14]}",728,471,0.646978021978022,434516.3302825094,281122.5158833268,386.15730203753685,True,Success,True,True,False
2,2,2,1316,2094,1166869.9223893492,1866387.2856520081,13,1,1,39061,7144,31917,1,"{0: 6, 4: 18, 2: 23, 8: 8, 6: 19, 5: 26, 1: 25, 7: 5, 3: 21}","{(0, 2): [6, 68, 23], (0, 3): [6, 97, 21], (0, 4): [6, 18], (0, 5): [6, 58, 26], (0, 6): [6, 13, 19], (0, 7): [6, 68, 5], (0, 8): [6, 50, 8], (1, 4): [25, 35, 19, 18], (1, 6): [25, 35, 19], (2, 4): [23, 10, 18], (2, 6): [23, 99, 19], (2, 8): [23, 99, 8], (4, 5): [18, 59, 26], (4, 8): [18, 8], (7, 8): [5, 99, 8]}",1366,845,0.6185944363103953,1431870.9553694988,885747.4065060224,648.4241628887427,True,Success,True,True,False
3,3,3,1493,2431,1213175.6381045654,1954551.2754600751,14,2,1,38724,7047,31677,2,"{2: 5, 0: 2, 1: 21}","{(0, 2): [2, 22, 53, 5], (1, 2): [21, 20, 17, 5]}",337,177,0.5252225519287834,88163.98980806707,46305.71571521623,137.405684614885,True,Success,True,True,False
4,4,4,2284,3939,1327575.102813664,2172647.8529332997,17,3,1,37216,6784,30432,3,"{0: 20, 5: 23, 7: 11, 3: 13, 1: 18, 4: 19, 6: 17, 2: 15}","{(0, 1): [20, 11, 18], (0, 3): [20, 37, 60, 13], (0, 4): [20, 3, 81, 19], (0, 6): [20, 17], (0, 7): [20, 51, 11], (1, 3): [18, 65, 13], (1, 5): [18, 85, 23], (2, 5): [15, 54, 23], (3, 5): [13, 65, 23], (3, 7): [13, 29, 17, 11], (4, 5): [19, 11, 96, 23], (4, 6): [19, 18, 17], (5, 7): [23, 65, 62, 11], (6, 7): [17, 14, 57, 11]}",1508,791,0.5245358090185677,218096.57747322437,114399.46470909845,75.8617139980759,True,Success,True,True,False
5,4,4,2284,3939,1327575.102813664,2172647.8529332997,17,4,1,37216,6784,30432,4,{},{},0,0,0.0,0.0,0.0,0.0,False,Place Failure,False,True,False
5,4,3,2284,3939,1327575.102813664,2172647.8529332997,17,5,0,38724,7047,31677,3,{},{},0,0,0.0,0.0,0.0,0.0,False,,True,True,False
5,4,2,2284,3939,1327575.102813664,2172647.8529332997,17,6,0,39061,7144,31917,2,{},{},0,0,0.0,0.0,0.0,0.0,False,,True,True,False
6,5,3,3293,5994,1411217.648100712,2343000.113156178,18,7,1,37006,6836,30170,5,"{6: 20, 8: 11, 7: 23, 5: 18, 1: 17, 4: 13, 2: 19, 3: 24, 0: 5}","{(0, 5): [5, 17, 18], (0, 7): [5, 85, 23], (1, 3): [17, 18, 85, 24], (1, 4): [17, 29, 13], (1, 5): [17, 11, 18], (1, 7): [17, 11, 96, 23], (1, 8): [17, 20, 11], (2, 5): [19, 18], (2, 6): [19, 11, 51, 20], (2, 7): [19, 11, 96, 23], (2, 8): [19, 81, 57, 11], (3, 6): [24, 47, 20], (3, 8): [24, 85, 18, 11], (4, 5): [13, 6, 18], (4, 6): [13, 6, 55, 20], (4, 7): [13, 65, 23], (4, 8): [13, 65, 62, 11], (5, 6): [18, 61, 20], (5, 7): [18, 65, 23], (6, 7): [20, 3, 23], (6, 8): [20, 47, 94, 93, 11]}",2055,1009,0.49099756690997565,170352.2602228783,83642.54528704827,40.70196850951254,True,Success,True,True,False
6,5,3,3293,5994,1411217.648100712,2343000.113156178,18,8,0,39061,7144,31917,5,{},{},0,0,0.0,0.0,0.0,0.0,False,,True,True,False
7,5,3,3293,5994,1411217.648100712,2343000.113156178,18,9,1,39061,7144,31917,6,{},{},0,0,0.0,0.0,0.0,0.0,False,Place Failure,False,True,False
7,5,3,3293,5994,1411217.648100712,2343000.113156178,18,10,0,39061,7144,31917,4,{},{},0,0,0.0,0.0,0.0,0.0,False,,True,True,False
8,6,4,3717,6792,1495713.9003196522,2502028.4369078623,19,11,1,38263,6952,31311,7,"{3: 13, 5: 11, 0: 17, 2: 15, 4: 0, 1: 5}","{(0, 2): [17, 20, 37, 15], (0, 5): [17, 11], (1, 3): [5, 17, 29, 13], (2, 5): [15, 0, 57, 11], (3, 4): [13, 65, 78, 0], (3, 5): [13, 6, 51, 11]}",798,424,0.531328320802005,159028.32375168413,84496.25221893995,105.88502784328313,True,Success,True,True,False
9,6,4,3717,6792,1495713.9003196522,2502028.4369078623,19,12,1,38263,6952,31311,8,{},{},0,0,0.0,0.0,0.0,0.0,False,Place Failure,False,True,False
9,6,3,3717,6792,1495713.9003196522,2502028.4369078623,19,13,0,38991,7141,31850,0,{},{},0,0,0.0,0.0,0.0,0.0,False,,True,True,False
10,6,3,3717,6792,1495713.9003196522,2502028.4369078623,19,14,1,38991,7141,31850,9,{},{},0,0,0.0,0.0,0.0,0.0,False,Place Failure,False,True,False
11,7,4,3964,7147,1811732.8338019585,2956225.689483647,19,15,1,38636,7002,31634,10,"{1: 6, 2: 18, 3: 2, 0: 8}","{(0, 2): [8, 6, 18], (1, 2): [6, 17, 18], (1, 3): [6, 61, 2]}",355,247,0.6957746478873239,454197.25257578446,316018.93348230637,890.1941788233981,True,Success,True,True,False
12,8,5,4246,7665,1841953.0238906944,3011736.535107637,21,16,1,38118,6859,31259,11,"{0: 14, 4: 1, 1: 9, 2: 13, 3: 0}","{(0, 2): [14, 6, 60, 13], (0, 4): [14, 63, 1], (1, 3): [9, 52, 16, 0], (1, 4): [9, 48, 72, 1]}",518,282,0.5444015444015444,55510.84562399007,30220.190088735908,58.340135306439976,True,Success,True,True,False
13,8,5,4246,7665,1841953.0238906944,3011736.535107637,21,17,1,38118,6859,31259,12,{},{},0,0,0.0,0.0,0.0,0.0,False,Place Failure,False,True,False
13,8,4,4246,7665,1841953.0238906944,3011736.535107637,21,18,0,38916,7051,31865,7,{},{},0,0,0.0,0.0,0.0,0.0,False,,True,True,False
13,8,4,4246,7665,1841953.0238906944,3011736.535107637,21,19,0,38916,7051,31865,8,{},{},0,0,0.0,0.0,0.0,0.0,False,,True,True,False
