time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/iterations,train/entropy_loss,train/policy_gradient_loss,train/clip_fraction,train/clip_range,train/learning_rate,train/approx_kl,train/explained_variance,train/loss,train/n_updates,train/value_loss
2048,30,72.9234425,68,856.0,1,,,,,,,,,,
4096,61,77.20881399999999,66,858.25,2,-2.8698808282613752,-0.00939186501200311,0.06630859375,0.2,0.0003,0.009891123,-0.0007493495941162109,0.26554855704307556,10,0.6572657320648432
6144,93,79.23703228571428,65,858.7142857142857,3,-2.8515435457229614,-0.008977021812461317,0.08759765625,0.2,0.0003,0.013173234,0.15353095531463623,0.3545879125595093,20,0.8283537283539772
8192,125,78.89395266666666,65,861.1111111111111,4,-2.8235997915267945,-0.004866381379542872,0.052685546875,0.2,0.0003,0.0107196495,0.15179193019866943,0.3715038001537323,30,0.9070838883519172
10240,156,78.762068,65,857.6363636363636,5,-2.8353753656148912,-0.00665136234019883,0.05078125,0.2,0.0003,0.011200858,0.09851819276809692,0.2869473397731781,40,0.8014934420585632
12288,188,79.22325871428572,65,857.8571428571429,6,-2.8226872950792314,-0.011137747904285789,0.093212890625,0.2,0.0003,0.013214515,0.11481350660324097,0.35860949754714966,50,0.7670290231704712
14336,219,80.23004206249999,65,860.625,7,-2.8014116078615188,-0.011411977495299652,0.107373046875,0.2,0.0003,0.013845219,0.09105449914932251,0.3682197034358978,60,0.7816134944558144
16384,251,81.31983563157894,65,861.6842105263158,8,-2.789987513422966,-0.0069373866484966126,0.05771484375,0.2,0.0003,0.008852182,0.16530632972717285,0.5093672275543213,70,1.0371068552136422
18432,282,81.29282152380954,65,862.2857142857143,9,-2.7808852285146712,-0.006731738639064133,0.05615234375,0.2,0.0003,0.011046385,0.07710093259811401,0.47088780999183655,80,1.1136451907455922
20480,314,82.06192639130435,65,863.5652173913044,10,-2.7791910976171494,-0.009112234227359295,0.074609375,0.2,0.0003,0.010041573,0.12413787841796875,0.502768874168396,90,1.1058119148015977
22528,345,83.36122342307694,65,865.1538461538462,11,-2.7616006731987,-0.009472251636907458,0.08564453125,0.2,0.0003,0.0105914725,0.17170721292495728,0.39307719469070435,100,0.926277557760477
24576,375,83.38611860714286,65,866.5357142857143,12,-2.750137355923653,-0.009146214125212281,0.068212890625,0.2,0.0003,0.010649547,0.10183703899383545,0.44359472393989563,110,1.1878808118402957
26624,406,84.16324956666668,65,867.6,13,-2.750164794921875,-0.014951841358561068,0.131982421875,0.2,0.0003,0.011469032,0.0008667111396789551,0.32689690589904785,120,0.8766457632184028
28672,437,85.2839956060606,65,867.939393939394,14,-2.720895543694496,-0.009663206274854019,0.074755859375,0.2,0.0003,0.011238253,0.1469476819038391,0.5420220494270325,130,1.048107496649027
